Nmin analysed with method XXX at Wiesengut, ? AOL, unit: kg/ha;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Trial;sampling date;treatment ;plot ID;Formelcheck treatment;main crop;soil depth;Nmin kg/ha;data source;comment
trial C;2014-03-11;2;23;2;;75-105cm;4,021404959;;
trial C;2014-03-11;1;24;1;;0-30cm;22,86148692;;
trial C;2014-03-11;1;24;1;;30-45cm;6,513776224;;
trial C;2014-03-11;1;24;1;;45-75cm;6,686201479;;
trial C;2014-03-11;1;24;1;;75-105cm;4,143488058;;
;;;;;;;;;
trial C;2014-04-10;2;13;2;;0-30cm;15,34169818;Nmin 2014 gilt, Tabellenblatt Trial C sortiert;
trial C;2014-04-10;2;13;2;;30-45cm;4,559296864;;
trial C;2014-04-10;2;13;2;;45-75cm;1,548927977;;
trial C;2014-04-10;2;13;2;;75-105cm;2,609384942;;
trial C;2014-04-10;3;14;3;;0-30cm;28,58319556;;
trial C;2014-04-10;3;14;3;;30-45cm;7,210442087;;
trial C;2014-04-10;3;14;3;;45-75cm;1,056737245;;
trial C;2014-04-10;3;14;3;;75-105cm;0,586963544;;
trial C;2014-04-10;1;15;1;;0-30cm;30,75326174;;
trial C;2014-04-10;1;15;1;;30-45cm;13,69936474;;
trial C;2014-04-10;1;15;1;;45-75cm;3,774999833;;
trial C;2014-04-10;1;15;1;;75-105cm;5,25167768;;
trial C;2014-04-10;6;16;6;;0-30cm;17,39365062;;
trial C;2014-04-10;6;16;6;;30-45cm;2,642641997;;
trial C;2014-04-10;6;16;6;;45-75cm;0,857002447;;
trial C;2014-04-10;6;16;6;;75-105cm;2,552035551;;
trial C;2014-04-10;5;17;5;;0-30cm;25,87062328;;
trial C;2014-04-10;5;17;5;;30-45cm;2,717698936;;
trial C;2014-04-10;5;17;5;;45-75cm;0,995878793;;
trial C;2014-04-10;5;17;5;;75-105cm;0,989303531;;
trial C;2014-04-10;4;18;4;;0-30cm;47,62242367;;
trial C;2014-04-10;4;18;4;;30-45cm;19,57002234;;
trial C;2014-04-10;4;18;4;;45-75cm;0;;
trial C;2014-04-10;4;18;4;;75-105cm;0,912569632;;
trial C;2014-04-10;5;19;5;;0-30cm;70,66682815;;
trial C;2014-04-10;5;19;5;;30-45cm;7,752228202;;
trial C;2014-04-10;5;19;5;;45-75cm;4,510951261;;
trial C;2014-04-10;5;19;5;;75-105cm;2,788515171;;
trial C;2014-04-10;4;20;4;;0-30cm;46,01207471;;
trial C;2014-04-10;4;20;4;;30-45cm;11,11660445;;
trial C;2014-04-10;4;20;4;;45-75cm;4,34864012;;
trial C;2014-04-10;4;20;4;;75-105cm;2,531233913;;
trial C;2014-04-10;6;21;6;;0-30cm;21,68589108;;
trial C;2014-04-10;6;21;6;;30-45cm;8,251426609;;
trial C;2014-04-10;6;21;6;;45-75cm;7,032269755;;
trial C;2014-04-10;6;21;6;;75-105cm;8,207307318;;
trial C;2014-04-10;3;22;3;;0-30cm;39,19158886;;
trial C;2014-04-10;3;22;3;;30-45cm;8,636514991;;
trial C;2014-04-10;3;22;3;;45-75cm;8,725869256;;
trial C;2014-04-10;3;22;3;;75-105cm;9,848675732;;
trial C;2014-04-10;2;23;2;;0-30cm;21,45073097;;
trial C;2014-04-10;2;23;2;;30-45cm;8,962498157;;
trial C;2014-04-10;2;23;2;;45-75cm;13,89910934;;
trial C;2014-04-10;2;23;2;;75-105cm;12,89346907;;
trial C;2014-04-10;1;24;1;;0-30cm;33,23910074;;
trial C;2014-04-10;1;24;1;;30-45cm;10,62560492;;
trial C;2014-04-10;1;24;1;;45-75cm;13,59794061;;
trial C;2014-04-10;1;24;1;;75-105cm;13,06473716;;
;;;;;;;;;
trial C;2014-05-14;2;13;2;;0-30cm;13,40597639;Nmin 2014 gilt, Tabellenblatt Trial C sortiert;
trial C;2014-05-14;2;13;2;;30-45cm;4,358280287;;
trial C;2014-05-14;2;13;2;;45-75cm;2,66127074;;
trial C;2014-05-14;2;13;2;;75-105cm;8,545111411;;
trial C;2014-05-14;3;14;3;;0-30cm;14,41303639;;
trial C;2014-05-14;3;14;3;;30-45cm;6,08003954;;
trial C;2014-05-14;3;14;3;;45-75cm;2,97834159;;
